condition,target_party,retrieved_party,proportion
jina/hyde,CDU/CSU,Greens,0.137
jina/hyde,CDU/CSU,Left,0.0704
jina/hyde,CDU/CSU,Other,0.0296
jina/hyde,AfD,SPD,0.133
jina/hyde,AfD,CDU/CSU,0.1403
jina/hyde,AfD,AfD,0.4118
jina/hyde,AfD,FDP,0.0742
jina/hyde,AfD,Greens,0.1113
jina/hyde,AfD,Left,0.0968
jina/hyde,AfD,Other,0.0326
jina/hyde,FDP,SPD,0.2496
jina/hyde,FDP,CDU/CSU,0.2564
jina/hyde,FDP,AfD,0.1402
jina/hyde,FDP,FDP,0.1368
jina/hyde,FDP,Greens,0.1231
jina/hyde,FDP,Left,0.0769
jina/hyde,FDP,Other,0.0171
jina/hyde,Greens,SPD,0.2551
jina/hyde,Greens,CDU/CSU,0.225
jina/hyde,Greens,AfD,0.0821
jina/hyde,Greens,FDP,0.0968
jina/hyde,Greens,Greens,0.2179
jina/hyde,Greens,Left,0.1077
jina/hyde,Greens,Other,0.0154
jina/hyde,Left,SPD,0.1507
jina/hyde,Left,CDU/CSU,0.1444
jina/hyde,Left,AfD,0.141
jina/hyde,Left,FDP,0.0739
jina/hyde,Left,Greens,0.1375
jina/hyde,Left,Left,0.3295
jina/hyde,Left,Other,0.0229
jina/simple,SPD,SPD,0.2501
jina/simple,SPD,CDU/CSU,0.4123
jina/simple,SPD,AfD,0.1041
jina/simple,SPD,FDP,0.071
jina/simple,SPD,Greens,0.0854
jina/simple,SPD,Left,0.0716
jina/simple,SPD,Other,0.0055
jina/simple,CDU/CSU,SPD,0.232
jina/simple,CDU/CSU,CDU/CSU,0.2867
jina/simple,CDU/CSU,AfD,0.132
jina/simple,CDU/CSU,FDP,0.1
jina/simple,CDU/CSU,Greens,0.136
jina/simple,CDU/CSU,Left,0.0813
jina/simple,CDU/CSU,Other,0.032
jina/simple,AfD,SPD,0.1257
jina/simple,AfD,CDU/CSU,0.1497
jina/simple,AfD,AfD,0.4421
jina/simple,AfD,FDP,0.0637
jina/simple,AfD,Greens,0.0965
jina/simple,AfD,Left,0.086
jina/simple,AfD,Other,0.0363
jina/simple,FDP,SPD,0.2149
jina/simple,FDP,CDU/CSU,0.2368
jina/simple,FDP,AfD,0.1575
jina/simple,FDP,FDP,0.1667
jina/simple,FDP,Greens,0.1172
jina/simple,FDP,Left,0.0931
jina/simple,FDP,Other,0.0138
jina/simple,Greens,SPD,0.2533
jina/simple,Greens,CDU/CSU,0.2189
jina/simple,Greens,AfD,0.089
jina/simple,Greens,FDP,0.0826
jina/simple,Greens,Greens,0.2331
jina/simple,Greens,Left,0.1123
jina/simple,Greens,Other,0.0108
jina/simple,Left,SPD,0.1449
jina/simple,Left,CDU/CSU,0.1497
jina/simple,Left,AfD,0.1501
jina/simple,Left,FDP,0.0749
jina/simple,Left,Greens,0.1449
jina/simple,Left,Left,0.3192
jina/simple,Left,Other,0.0164
jina/twostage,SPD,SPD,0.2806
jina/twostage,SPD,CDU/CSU,0.3945
jina/twostage,SPD,AfD,0.1009
jina/twostage,SPD,FDP,0.0793
jina/twostage,SPD,Greens,0.0954
jina/twostage,SPD,Left,0.0456
jina/twostage,SPD,Other,0.0037
jina/twostage,CDU/CSU,SPD,0.218
jina/twostage,CDU/CSU,CDU/CSU,0.352
jina/twostage,CDU/CSU,AfD,0.118
jina/twostage,CDU/CSU,FDP,0.126
jina/twostage,CDU/CSU,Greens,0.1
jina/twostage,CDU/CSU,Left,0.058
jina/twostage,CDU/CSU,Other,0.028
